clip_id,file_name,start_time_s,end_time_s,qc_result,y_bin,rms_mean,crest_factor_db,true_peak_dbfs,short_term_lufs_mean,loudness_var_proxy_db,silence_ratio,stereo_correlation,spectral_centroid_mean,spectral_flatness_mean,clipping_ratio,near_ceiling_ratio
100ECDICEN_PGR276 B1_FULL MIX_1,100ECDICEN_PGR276 B1_FULL MIX.wav,0,5,OK,0,0.042636506259441376,16.422409958272738,-10.98205682459411,-27.601156560550525,1.02773916721344,0.019679166666666668,0.698463633564033,2865.7882048081224,0.001436307793483138,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_2,100ECDICEN_PGR276 B1_FULL MIX.wav,5,10,OK,0,0.055001623928546906,15.96905496976021,-9.198307020658193,-24.36478722765163,1.84059476852417,0.023679166666666668,0.9695514488987254,2631.627281864746,0.0010746822226792574,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_3,100ECDICEN_PGR276 B1_FULL MIX.wav,10,15,OK,0,0.05393809825181961,16.342973838150844,-8.990310748650854,-24.623176820495406,2.1233885288238525,0.0251625,0.8185421260443858,3237.939447595491,0.001835982664488256,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_4,100ECDICEN_PGR276 B1_FULL MIX.wav,15,20,OK,0,0.05094081908464432,16.819484302652754,-9.025300023937962,-25.115420655916505,2.78839373588562,0.028129166666666667,0.9053926801989446,2821.8443614597863,0.0012034375686198473,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_5,100ECDICEN_PGR276 B1_FULL MIX.wav,20,25,OK,0,0.04264112561941147,18.379377873038493,-8.989745255255933,-26.324976890156773,4.638038635253906,0.04931666666666667,0.9494452035120255,3066.137186815233,0.0019901341293007135,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_6,100ECDICEN_PGR276 B1_FULL MIX.wav,25,30,OK,0,0.042949527502059937,16.737594157966882,-10.554064353500808,-26.143081685786246,3.0736396312713623,0.037054166666666666,0.9735705666006977,3420.178717883342,0.0032888459973037243,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_7,100ECDICEN_PGR276 B1_FULL MIX.wav,30,35,OK,0,0.053587574511766434,16.39803811757543,-9.00703421345114,-24.795620611492584,3.154898166656494,0.027354166666666666,0.9315091285863177,2954.9568268352273,0.0015819070395082235,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_8,100ECDICEN_PGR276 B1_FULL MIX.wav,35,40,OK,0,0.04603973776102066,17.688739662862968,-9.048809672632245,-25.867972827413812,4.924533843994141,0.03554583333333333,0.9851669846295531,2613.2071960099966,0.0019175037741661072,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_9,100ECDICEN_PGR276 B1_FULL MIX.wav,40,45,OK,0,0.05493194982409477,15.682495219252626,-9.455839823411587,-25.137406671283475,1.890899419784546,0.032483333333333336,0.9879994945848949,2418.983964726876,0.0018685958348214626,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_10,100ECDICEN_PGR276 B1_FULL MIX.wav,45,50,OK,0,0.04895268380641937,16.448103621712587,-9.752348448866803,-25.97078490654409,3.9031827449798584,0.03435,0.977147269564804,2217.067821105606,0.0023756122682243586,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_11,100ECDICEN_PGR276 B1_FULL MIX.wav,50,55,OK,0,0.05095750093460083,15.608273952654573,-10.239290745087278,-25.73731540033722,1.450137972831726,0.030429166666666667,0.9838482685476767,2428.7581319782453,0.004897672683000565,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_12,100ECDICEN_PGR276 B1_FULL MIX.wav,55,60,OK,0,0.05482638627290726,16.20187486602594,-9.010768307634594,-24.991103638606013,2.6233327388763428,0.0300875,0.9801451898957774,2834.154870906129,0.0025958798360079527,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_13,100ECDICEN_PGR276 B1_FULL MIX.wav,60,65,OK,0,0.05562657490372658,16.022823810927896,-8.975383431432167,-24.978678670442857,2.1081032752990723,0.026154166666666666,0.987380324933921,2515.8276593412074,0.0020369936246424913,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_14,100ECDICEN_PGR276 B1_FULL MIX.wav,65,70,OK,0,0.05612040311098099,15.960977339932041,-9.035749041349119,-24.995821199472694,2.1696386337280273,0.031329166666666665,0.9890027543288653,2381.759790933933,0.0020033884793519974,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_15,100ECDICEN_PGR276 B1_FULL MIX.wav,70,75,OK,0,0.05302334204316139,15.97335789651704,-9.487921151864976,-25.48526456767478,2.023113250732422,0.029133333333333334,0.9537906249704412,2822.2881502384957,0.002734109992161393,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_16,100ECDICEN_PGR276 B1_FULL MIX.wav,75,80,OK,0,0.04263215512037277,17.07126296497046,-10.30313770155291,-27.37327412777029,3.046092987060547,0.0360875,0.9782363366436867,3184.4283840903254,0.009223376400768757,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_17,100ECDICEN_PGR276 B1_FULL MIX.wav,80,85,OK,0,0.04389078915119171,17.378444506442765,-9.774146724167958,-26.77340120942952,2.777447462081909,0.03874166666666667,0.9626014578786214,2800.0713716444016,0.002013111487030983,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_18,100ECDICEN_PGR276 B1_FULL MIX.wav,85,90,OK,0,0.048284150660037994,17.31451951438357,-7.844896679427341,-25.86392923985078,3.434288740158081,0.045679166666666667,0.9667518743892553,2427.53366796084,0.0017028378788381815,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_19,100ECDICEN_PGR276 B1_FULL MIX.wav,90,95,OK,0,0.04782041534781456,17.385413507440028,-9.006689586284919,-25.85541029356565,2.87233304977417,0.032570833333333334,0.9784394529725745,3264.7114355907656,0.0088223060593009,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_20,100ECDICEN_PGR276 B1_FULL MIX.wav,95,100,OK,0,0.04919740557670593,16.91037762075559,-9.228325862782933,-25.835582278555115,3.503688335418701,0.04211666666666666,0.9833308670001256,3184.0663399897953,0.005664953496307135,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_21,100ECDICEN_PGR276 B1_FULL MIX.wav,100,105,OK,0,0.0470685176551342,17.523270375577994,-8.957517661078587,-25.94473895361153,2.575909376144409,0.041620833333333336,0.9797890837321596,2957.153244239156,0.002803857671096921,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_22,100ECDICEN_PGR276 B1_FULL MIX.wav,105,110,OK,0,0.043742164969444275,18.181645965777232,-8.983677263655967,-26.59316514247646,3.401503801345825,0.033779166666666666,0.9834503445358057,2935.0669033461318,0.00403331546112895,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_23,100ECDICEN_PGR276 B1_FULL MIX.wav,110,115,OK,0,0.03392810747027397,16.98150125602283,-12.384597120853712,-29.00419212737529,2.621209144592285,0.04029166666666667,0.966576951082104,3034.7755434392875,0.00569216487929225,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_24,100ECDICEN_PGR276 B1_FULL MIX.wav,115,120,OK,0,0.04803215339779854,17.336992178423923,-9.008340562173672,-25.82739109563334,3.0927650928497314,0.0338625,0.9834362549865712,2588.412898028906,0.0031438106670975685,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_25,100ECDICEN_PGR276 B1_FULL MIX.wav,120,125,OK,0,0.047620922327041626,17.421951077400077,-9.022048984871166,-26.34518351021334,3.0852551460266113,0.037170833333333334,0.977611095567813,2671.632114387588,0.0032533362973481417,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_26,100ECDICEN_PGR276 B1_FULL MIX.wav,125,130,OK,0,0.0468788780272007,17.057557842897378,-9.522973911621344,-26.407414077602144,3.2526745796203613,0.037170833333333334,0.9763038018252072,2793.905776599784,0.0019904980435967445,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_27,100ECDICEN_PGR276 B1_FULL MIX.wav,130,135,OK,0,0.04044899716973305,17.52288417010385,-10.293668577596303,-27.51408287170395,4.813222408294678,0.1149625,0.9868473615771032,3219.120482266743,0.024747900664806366,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_28,100ECDICEN_PGR276 B1_FULL MIX.wav,135,140,OK,0,0.04283999651670456,15.16364169926067,-12.200112139924478,-27.307098905361393,2.0320751667022705,0.028254166666666667,0.9727811380852096,3009.8260979231754,0.004328603856265545,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_29,100ECDICEN_PGR276 B1_FULL MIX.wav,140,145,OK,0,0.05242902785539627,16.592286825615076,-8.982512956318788,-24.887769136472368,2.4066720008850098,0.030070833333333335,0.9838323168181332,3164.4487620535624,0.006049551535397768,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_30,100ECDICEN_PGR276 B1_FULL MIX.wav,145,150,OK,0,0.0532568097114563,16.461887263594885,-8.998569980499811,-24.783972885460546,3.503990411758423,0.029916666666666668,0.9830453270760209,2942.9244696791716,0.0029078235384076834,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_31,100ECDICEN_PGR276 B1_FULL MIX.wav,150,155,OK,0,0.04462912678718567,17.850376337948866,-9.132185962154129,-26.67284473199658,4.187088966369629,0.03353333333333333,0.9527256587072437,2690.920645979185,0.0020374194718897343,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_32,100ECDICEN_PGR276 B1_FULL MIX.wav,155,160,OK,0,0.05354274436831474,16.40955687979269,-8.950860558427497,-24.183017511830005,4.447206020355225,0.030525,0.9739568271963052,2884.2733483342563,0.0023208619095385075,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_33,100ECDICEN_PGR276 B1_FULL MIX.wav,160,165,OK,0,0.0550096221268177,16.029412783229468,-9.090010018498226,-24.771812046267836,3.484160900115967,0.031241666666666668,0.9744155655802357,2561.781118777223,0.0014690092066302896,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_34,100ECDICEN_PGR276 B1_FULL MIX.wav,165,170,OK,0,0.052375584840774536,16.602636195281843,-8.998847174254276,-24.981551727967833,2.1857712268829346,0.03172083333333333,0.9859382958284892,2815.017947761746,0.0031379361171275377,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_35,100ECDICEN_PGR276 B1_FULL MIX.wav,170,175,OK,0,0.05156932771205902,16.718462277090598,-9.02633762781838,-25.045660909876556,3.35180401802063,0.0354875,0.9865754475218154,2674.896148698737,0.0026052193716168404,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_36,100ECDICEN_PGR276 B1_FULL MIX.wav,175,180,OK,0,0.050886120647192,16.790458173496642,-9.060627707321402,-25.12394964270782,3.6281089782714844,0.0309875,0.9784581850547828,3102.603389270175,0.0026420678477734327,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_37,100ECDICEN_PGR276 B1_FULL MIX.wav,180,185,OK,0,0.0449029915034771,17.88520357721582,-9.038574308515777,-26.012776167240734,6.670562267303467,0.085325,0.9747432638685268,2856.9190690191704,0.0029409800190478563,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_38,100ECDICEN_PGR276 B1_FULL MIX.wav,185,190,OK,0,0.04260316491127014,17.70944884216898,-9.700821744735984,-26.848524501088317,2.1348156929016113,0.03842916666666667,0.9679302603042627,2629.8852180965,0.004313694778829813,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_39,100ECDICEN_PGR276 B1_FULL MIX.wav,190,195,OK,0,0.05344458669424057,16.35852685477594,-9.08352685782641,-25.117013571079564,3.4839468002319336,0.031179166666666668,0.9837378960732241,2264.607631244632,0.0006655780016444623,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_40,100ECDICEN_PGR276 B1_FULL MIX.wav,195,200,OK,0,0.0433812253177166,16.94165118367058,-10.3128912569926,-27.017503445513395,2.4393088817596436,0.02735,0.9729332153561828,2717.6184332876583,0.004248392302542925,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_41,100ECDICEN_PGR276 B1_FULL MIX.wav,200,205,OK,0,0.05032878369092941,16.94149943923819,-9.00368927920567,-25.311145929981837,2.7275619506835938,0.026608333333333335,0.9798808758464127,2490.5995319231247,0.005390775855630636,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_42,100ECDICEN_PGR276 B1_FULL MIX.wav,205,210,OK,0,0.042029667645692825,17.836604247230056,-9.691905301028122,-27.084885551186492,2.940033435821533,0.03298333333333334,0.9759803996773977,2592.8567845127673,0.0037753775250166655,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_43,100ECDICEN_PGR276 B1_FULL MIX.wav,210,215,OK,0,0.03569260984659195,19.6829186812794,-9.226266362225676,-27.910508637616967,4.531563758850098,0.0478125,0.9792069232154272,3463.7023224675318,0.010998710058629513,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_44,100ECDICEN_PGR276 B1_FULL MIX.wav,215,220,OK,0,0.04044394940137863,18.79637761765212,-9.066210834204725,-27.563586781673642,2.925887107849121,0.034758333333333336,0.9819639645943883,3047.590803490465,0.0056715249083936214,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_45,100ECDICEN_PGR276 B1_FULL MIX.wav,220,225,OK,0,0.03915514424443245,19.119006824286735,-8.993665843500771,-28.074429360051365,3.6301777362823486,0.0449625,0.966020488626004,3265.460458837124,0.005013326648622751,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_46,100ECDICEN_PGR276 B1_FULL MIX.wav,225,230,OK,0,0.030722642317414284,19.76473453700263,-10.473685387091596,-30.323602019627995,2.417933464050293,0.0444,0.9619281147741595,3412.1798059639755,0.008085920475423336,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_47,100ECDICEN_PGR276 B1_FULL MIX.wav,230,235,OK,0,0.03769375756382942,16.634245475398636,-11.740207459548287,-28.0337823664954,3.479050636291504,0.0431875,0.9721332123005025,3280.8503751869657,0.007279651239514351,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_48,100ECDICEN_PGR276 B1_FULL MIX.wav,235,240,OK,0,0.030935198068618774,15.803679297222988,-14.373996515671017,-30.03473000142569,2.467925548553467,0.050445833333333336,0.9634486497661288,3030.000220389857,0.005575534421950579,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_49,100ECDICEN_PGR276 B1_FULL MIX.wav,240,245,OK,0,0.05388585478067398,16.329249120341267,-8.96537224191006,-24.836376722699267,3.3197615146636963,0.0300375,0.9698406390443342,2882.612868696761,0.0027957595884799957,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_50,100ECDICEN_PGR276 B1_FULL MIX.wav,245,250,OK,0,0.049364328384399414,17.128057744792624,-8.991691844099389,-24.860038343669405,4.348450660705566,0.037295833333333334,0.9888254574569367,2827.398972531164,0.004267992451786995,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_51,100ECDICEN_PGR276 B1_FULL MIX.wav,250,255,OK,0,0.040069498121738434,16.750159520503935,-11.172473705570432,-27.111534611954447,3.238673448562622,0.03647916666666667,0.9858072562817398,2809.0317550245154,0.0031943826470524073,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_52,100ECDICEN_PGR276 B1_FULL MIX.wav,255,260,OK,0,0.04024293273687363,17.193777839145618,-10.638981899561664,-27.791881225996487,3.189234495162964,0.0388,0.9846879062536206,2961.8329067314917,0.00535337720066309,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_53,100ECDICEN_PGR276 B1_FULL MIX.wav,260,265,OK,0,0.052608422935009,16.448857038556987,-9.034878786300341,-24.92558413485724,3.1228318214416504,0.02890416666666667,0.968215966024026,2507.0106183481257,0.0019390247762203217,0.0,0.0
100ECDICEN_PGR276 B1_FULL MIX_54,100ECDICEN_PGR276 B1_FULL MIX.wav,265,270,OK,0,0.044479385018348694,18.034365724484097,-9.002718598822149,-26.585182896927606,2.784726858139038,0.04206666666666667,0.9733129256059495,2814.100047385295,0.004675176460295916,0.0,0.0
